district,native_ar,status,governorate,population,year
Ṭurah [ Tura ],قسم طره,Kism (fully urban),Al-Qāhirah [ Cairo ],94107.0,2006
Ad-Duqqī,قسم الدقي,Kism (fully urban),Al-Jīzah [ Giza ],70926.0,2017
Al-Ahrām,قسم الأهرام,Kism (fully urban),Al-Jīzah [ Giza ],659305.0,2017
Al-'Ajūzah,قسم العجوزة,Kism (fully urban),Al-Jīzah [ Giza ],278479.0,2017
Al-'Ayyāṭ,مركز العياط,Markaz,Al-Jīzah [ Giza ],492178.0,2017
Al-Badrashayn [ Badrshein ],مركز البدرشين,Markaz,Al-Jīzah [ Giza ],537133.0,2017
Al-Ḥawāmidiyah,قسم الحوامدية,Kism (urban and rural parts),Al-Jīzah [ Giza ],190847.0,2017
Al-Jīzah [ Giza ],قسم الجيزة,Kism (fully urban),Al-Jīzah [ Giza ],285723.0,2017
Al-Jīzah [ Giza ],مركز الجيزة,Markaz,Al-Jīzah [ Giza ],367663.0,2017
Al-'Umrāniyah,قسم العمرانية,Kism (fully urban),Al-Jīzah [ Giza ],366066.0,2017
Al-Wāḥāt al-Baḥariyah,قسم الواحات البحرية,Kism (urban and rural parts),Al-Jīzah [ Giza ],39248.0,2017
Al-Warrāq,قسم الوراق,Kism (urban and rural parts),Al-Jīzah [ Giza ],722083.0,2017
Ash-Shaykh Zāyid [ Sheikh Zayed City ],قسم الشيخ زايد,Kism (fully urban),Al-Jīzah [ Giza ],90699.0,2017
Aṣ-Ṣaff,مركز الصف,Markaz,Al-Jīzah [ Giza ],418327.0,2017
Aṭfīḥ [ Atfeh ],مركز أطفيح,Markaz,Al-Jīzah [ Giza ],368293.0,2017
Aṭ-Ṭālbīah,قسم الطالبيه,Kism (fully urban),Al-Jīzah [ Giza ],457667.0,2017
Awsīm [ Ossim ],مركز أوسيم,Markaz,Al-Jīzah [ Giza ],382779.0,2017
Būlāq al-Dakrūr,قسم بولاق الدكرور,Kism (fully urban),Al-Jīzah [ Giza ],960031.0,2017
Imbābah [ Imbaba ],قسم امبابة,Kism (fully urban),Al-Jīzah [ Giza ],632599.0,2017
Imbābah [ Imbaba ],مركز إمبابة,Markaz,Al-Jīzah [ Giza ],515512.0,2017
Kirdāsah,مركز كرداسة,Markaz,Al-Jīzah [ Giza ],447593.0,2017
Madīnat Sittah Uktūbar 2 [ 6th of October City ],قسم ثان 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],196373.0,2017
Madīnat Sittah Uktūbar 1 & 3 [ 6th of October City ],قسم أول 6 أكتوبر / قسم ثالث 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],152497.0,2017
15 Māyū [ 15th of May City ],قسم 15 مايو,Kism (fully urban),Al-Qāhirah [ Cairo ],93574.0,2017
'Ābidīn,قسم عابدين,Kism (fully urban),Al-Qāhirah [ Cairo ],40321.0,2017
Ad-Darb al-Aḥmar,قسم الدرب الأحمر,Kism (fully urban),Al-Qāhirah [ Cairo ],58489.0,2017
'Ain Schams,قسم عين شمس,Kism (fully urban),Al-Qāhirah [ Cairo ],614391.0,2017
Al-Amīriīah,قسم الاميريه,Kism (fully urban),Al-Qāhirah [ Cairo ],152554.0,2017
Al-Azbakiyah [ Azbakeya ],قسم الأزبكية,Kism (fully urban),Al-Qāhirah [ Cairo ],19763.0,2017
Al-Basātīn,قسم البساتين,Kism (fully urban),Al-Qāhirah [ Cairo ],495443.0,2017
Al-Jamāliyah,قسم الجمالية,Kism (fully urban),Al-Qāhirah [ Cairo ],36368.0,2017
Al-Khalīfah,قسم الخليفة,Kism (fully urban),Al-Qāhirah [ Cairo ],105235.0,2017
Al-Ma'ādī [ Maadi ],قسم المعادي,Kism (fully urban),Al-Qāhirah [ Cairo ],88575.0,2017
Al-Marj [ El Marg ],قسم المرج,Kism (fully urban),Al-Qāhirah [ Cairo ],798646.0,2017
Al-Ma'ṣarah,قسم المعصره,Kism (fully urban),Al-Qāhirah [ Cairo ],270032.0,2017
Al-Maṭariyah [ Matariyyah ],قسم المطرية,Kism (fully urban),Al-Qāhirah [ Cairo ],602485.0,2017
Al-Muqaṭṭam,قسم المقطم,Kism (fully urban),Al-Qāhirah [ Cairo ],224138.0,2017
Al-Mūskī,قسم الموسكي,Kism (fully urban),Al-Qāhirah [ Cairo ],16662.0,2017
Al-Qāhirah al-Jadīdah 1 [ New Cairo ],قسم أول القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],135834.0,2017
Al-Qāhirah al-Jadīdah 2 [ New Cairo ],قسم ثان القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],90668.0,2017
Al-Qāhirah al-Jadīdah 3 [ New Cairo ],قسم ثالث القاهره الجديده,Kism (fully urban),Al-Qāhirah [ Cairo ],70885.0,2017
Al-Waylī,قسم الوايلي,Kism (fully urban),Al-Qāhirah [ Cairo ],79292.0,2017
An-Nuzhah,قسم النزهة,Kism (fully urban),Al-Qāhirah [ Cairo ],231241.0,2017
Ash-Sharābiyah,قسم الشرابية,Kism (fully urban),Al-Qāhirah [ Cairo ],187201.0,2017
Ash-Shurūq,قسم الشروق,Kism (fully urban),Al-Qāhirah [ Cairo ],87285.0,2017
As-Sāḥil,قسم الساحل,Kism (fully urban),Al-Qāhirah [ Cairo ],316421.0,2017
As-Salām 1,قسم أول السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],480721.0,2017
As-Salām 2,قسم ثان السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],153772.0,2017
As-Sayyidah Zaynab,قسم السيدة زينب,Kism (fully urban),Al-Qāhirah [ Cairo ],136278.0,2017
At-Tibbīn,قسم التبين,Kism (fully urban),Al-Qāhirah [ Cairo ],72040.0,2017
Aẓ-Ẓāhir,قسم الظاهر,Kism (fully urban),Al-Qāhirah [ Cairo ],71870.0,2017
Az-Zamālik [ Zamalek ],قسم الزمالك,Kism (fully urban),Al-Qāhirah [ Cairo ],14946.0,2017
Az-Zāwiyah al-Ḥamrā',قسم الزاوية الحمراء,Kism (fully urban),Al-Qāhirah [ Cairo ],318170.0,2017
Az-Zaytūn [ Zeitoun ],قسم الزيتون,Kism (fully urban),Al-Qāhirah [ Cairo ],174176.0,2017
Bāb ash-Sha'riyah,قسم باب الشعرية,Kism (fully urban),Al-Qāhirah [ Cairo ],46673.0,2017
Būlāq,قسم بولاق,Kism (fully urban),Al-Qāhirah [ Cairo ],48147.0,2017
Dār as-Salām,قسم دار السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],525638.0,2017
Hada'iq al-Qubbah,قسم حدائق القبة,Kism (fully urban),Al-Qāhirah [ Cairo ],316072.0,2017
Ḥulwān [ Helwan ],قسم حلوان,Kism (fully urban),Al-Qāhirah [ Cairo ],521239.0,2017
Madīnat an-Naṣr 1 [ Nasr City ],قسم مدينة نصر أول,Kism (fully urban),Al-Qāhirah [ Cairo ],634818.0,2017
Madīnat an-Naṣr 2 [ Nasr City ],قسم ثانى مدينه نصر,Kism (fully urban),Al-Qāhirah [ Cairo ],72182.0,2017
Madīnat Badr,قسم مدينة بدر,Kism (fully urban),Al-Qāhirah [ Cairo ],31299.0,2017
Miṣr al-Jādidah [ Heliopolis ],قسم مصر الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],134116.0,2017
Miṣr al-Qadīmah [ Old Cairo ],قسم مصر القديمة,Kism (fully urban),Al-Qāhirah [ Cairo ],250313.0,2017
Munsha'āt Nāṣr [ Manshiyat Naser ],قسم منشأة ناصر,Kism (fully urban),Al-Qāhirah [ Cairo ],258372.0,2017
Qaṣr an-Nīl,قسم قصر النيل,Kism (fully urban),Al-Qāhirah [ Cairo ],10563.0,2017
Rūd al-Faraj [ Rod El Farag ],قسم روض الفرج,Kism (fully urban),Al-Qāhirah [ Cairo ],145632.0,2017
Shubrā,قسم شبرا,Kism (fully urban),Al-Qāhirah [ Cairo ],76695.0,2017
Ṭurah [ Tura ],قسم طره,Kism (fully urban),Al-Qāhirah [ Cairo ],230438.0,2017
Ad-Duqqī,قسم الدقي,Kism (fully urban),Al-Jīzah [ Giza ],76528.0,2023
Al-Ahrām,قسم الأهرام,Kism (fully urban),Al-Jīzah [ Giza ],711161.0,2023
Al-'Ajūzah,قسم العجوزة,Kism (fully urban),Al-Jīzah [ Giza ],300422.0,2023
Al-'Ayyāṭ,مركز العياط,Markaz,Al-Jīzah [ Giza ],557971.0,2023
Al-Badrashayn [ Badrshein ],مركز البدرشين,Markaz,Al-Jīzah [ Giza ],606623.0,2023
Al-Ḥawāmidiyah,قسم الحوامدية,Kism (urban and rural parts),Al-Jīzah [ Giza ],208535.0,2023
Al-Jīzah [ Giza ],قسم الجيزة,Kism (fully urban),Al-Jīzah [ Giza ],308253.0,2023
Al-Jīzah [ Giza ],مركز الجيزة,Markaz,Al-Jīzah [ Giza ],413839.0,2023
Al-'Umrāniyah,قسم العمرانية,Kism (fully urban),Al-Jīzah [ Giza ],394884.0,2023
Al-Wāḥāt al-Baḥariyah,قسم الواحات البحرية,Kism (urban and rural parts),Al-Jīzah [ Giza ],43810.0,2023
Al-Warrāq,قسم الوراق,Kism (urban and rural parts),Al-Jīzah [ Giza ],797066.0,2023
Ash-Shaykh Zāyid [ Sheikh Zayed City ],قسم الشيخ زايد,Kism (fully urban),Al-Jīzah [ Giza ],97848.0,2023
Aṣ-Ṣaff,مركز الصف,Markaz,Al-Jīzah [ Giza ],472963.0,2023
Aṭfīḥ [ Atfeh ],مركز أطفيح,Markaz,Al-Jīzah [ Giza ],417951.0,2023
Aṭ-Ṭālbīah,قسم الطالبيه,Kism (fully urban),Al-Jīzah [ Giza ],493760.0,2023
Awsīm [ Ossim ],مركز أوسيم,Markaz,Al-Jīzah [ Giza ],430609.0,2023
Būlāq al-Dakrūr,قسم بولاق الدكرور,Kism (fully urban),Al-Jīzah [ Giza ],1035628.0,2023
Imbābah [ Imbaba ],قسم امبابة,Kism (fully urban),Al-Jīzah [ Giza ],682349.0,2023
Imbābah [ Imbaba ],مركز إمبابة,Markaz,Al-Jīzah [ Giza ],586089.0,2023
Kirdāsah,مركز كرداسة,Markaz,Al-Jīzah [ Giza ],501949.0,2023
Madīnat Sittah Uktūbar 2 [ 6th of October City ],قسم ثان 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],211811.0,2023
Madīnat Sittah Uktūbar 1 & 3 [ 6th of October City ],قسم أول 6 أكتوبر / قسم ثالث 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],164491.0,2023
15 Māyū [ 15th of May City ],قسم 15 مايو,Kism (fully urban),Al-Qāhirah [ Cairo ],100511.0,2023
'Ābidīn,قسم عابدين,Kism (fully urban),Al-Qāhirah [ Cairo ],43347.0,2023
Ad-Darb al-Aḥmar,قسم الدرب الأحمر,Kism (fully urban),Al-Qāhirah [ Cairo ],62837.0,2023
'Ain Schams,قسم عين شمس,Kism (fully urban),Al-Qāhirah [ Cairo ],660111.0,2023
Al-Amīriīah,قسم الاميريه,Kism (fully urban),Al-Qāhirah [ Cairo ],163925.0,2023
Al-Azbakiyah [ Azbakeya ],قسم الأزبكية,Kism (fully urban),Al-Qāhirah [ Cairo ],21241.0,2023
Al-Basātīn,قسم البساتين,Kism (fully urban),Al-Qāhirah [ Cairo ],532191.0,2023
Al-Jamāliyah,قسم الجمالية,Kism (fully urban),Al-Qāhirah [ Cairo ],39077.0,2023
Al-Khalīfah,قسم الخليفة,Kism (fully urban),Al-Qāhirah [ Cairo ],113064.0,2023
Al-Ma'ādī [ Maadi ],قسم المعادي,Kism (fully urban),Al-Qāhirah [ Cairo ],95194.0,2023
Al-Marj [ El Marg ],قسم المرج,Kism (fully urban),Al-Qāhirah [ Cairo ],858032.0,2023
Al-Ma'ṣarah,قسم المعصره,Kism (fully urban),Al-Qāhirah [ Cairo ],290148.0,2023
Al-Maṭariyah [ Matariyyah ],قسم المطرية,Kism (fully urban),Al-Qāhirah [ Cairo ],647260.0,2023
Al-Muqaṭṭam,قسم المقطم,Kism (fully urban),Al-Qāhirah [ Cairo ],240799.0,2023
Al-Mūskī,قسم الموسكي,Kism (fully urban),Al-Qāhirah [ Cairo ],17908.0,2023
Al-Qāhirah al-Jadīdah 1 [ New Cairo ],قسم أول القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],145923.0,2023
Al-Qāhirah al-Jadīdah 2 [ New Cairo ],قسم ثان القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],97423.0,2023
Al-Qāhirah al-Jadīdah 3 [ New Cairo ],قسم ثالث القاهره الجديده,Kism (fully urban),Al-Qāhirah [ Cairo ],76142.0,2023
Al-Waylī,قسم الوايلي,Kism (fully urban),Al-Qāhirah [ Cairo ],85217.0,2023
An-Nuzhah,قسم النزهة,Kism (fully urban),Al-Qāhirah [ Cairo ],248464.0,2023
Ash-Sharābiyah,قسم الشرابية,Kism (fully urban),Al-Qāhirah [ Cairo ],201154.0,2023
Ash-Shurūq,قسم الشروق,Kism (fully urban),Al-Qāhirah [ Cairo ],93759.0,2023
As-Sāḥil,قسم الساحل,Kism (fully urban),Al-Qāhirah [ Cairo ],339975.0,2023
As-Salām 1,قسم أول السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],516440.0,2023
As-Salām 2,قسم ثان السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],165186.0,2023
As-Sayyidah Zaynab,قسم السيدة زينب,Kism (fully urban),Al-Qāhirah [ Cairo ],146446.0,2023
At-Tibbīn,قسم التبين,Kism (fully urban),Al-Qāhirah [ Cairo ],77413.0,2023
Aẓ-Ẓāhir,قسم الظاهر,Kism (fully urban),Al-Qāhirah [ Cairo ],77236.0,2023
Az-Zamālik [ Zamalek ],قسم الزمالك,Kism (fully urban),Al-Qāhirah [ Cairo ],16064.0,2023
Az-Zāwiyah al-Ḥamrā',قسم الزاوية الحمراء,Kism (fully urban),Al-Qāhirah [ Cairo ],341866.0,2023
Az-Zaytūn [ Zeitoun ],قسم الزيتون,Kism (fully urban),Al-Qāhirah [ Cairo ],187179.0,2023
Bāb ash-Sha'riyah,قسم باب الشعرية,Kism (fully urban),Al-Qāhirah [ Cairo ],50140.0,2023
Būlāq,قسم بولاق,Kism (fully urban),Al-Qāhirah [ Cairo ],51741.0,2023
Dār as-Salām,قسم دار السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],564684.0,2023
Hada'iq al-Qubbah,قسم حدائق القبة,Kism (fully urban),Al-Qāhirah [ Cairo ],339612.0,2023
Ḥulwān [ Helwan ],قسم حلوان,Kism (fully urban),Al-Qāhirah [ Cairo ],560070.0,2023
Madīnat an-Naṣr 1 [ Nasr City ],قسم مدينة نصر أول,Kism (fully urban),Al-Qāhirah [ Cairo ],681942.0,2023
Madīnat an-Naṣr 2 [ Nasr City ],قسم ثانى مدينه نصر,Kism (fully urban),Al-Qāhirah [ Cairo ],77529.0,2023
Madīnat Badr,قسم مدينة بدر,Kism (fully urban),Al-Qāhirah [ Cairo ],33602.0,2023
Miṣr al-Jādidah [ Heliopolis ],قسم مصر الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],144106.0,2023
Miṣr al-Qadīmah [ Old Cairo ],قسم مصر القديمة,Kism (fully urban),Al-Qāhirah [ Cairo ],268920.0,2023
Munsha'āt Nāṣr [ Manshiyat Naser ],قسم منشأة ناصر,Kism (fully urban),Al-Qāhirah [ Cairo ],277575.0,2023
Qaṣr an-Nīl,قسم قصر النيل,Kism (fully urban),Al-Qāhirah [ Cairo ],11358.0,2023
Rūd al-Faraj [ Rod El Farag ],قسم روض الفرج,Kism (fully urban),Al-Qāhirah [ Cairo ],156505.0,2023
Shubrā,قسم شبرا,Kism (fully urban),Al-Qāhirah [ Cairo ],82421.0,2023
Ṭurah [ Tura ],قسم طره,Kism (fully urban),Al-Qāhirah [ Cairo ],246648.0,2023
