line,station_en,station_ar,location_raw,opened_raw,lat,lon,opening_year,phase,is_interchange
Line 1,Helwan,حلوان ‎,29°50′56″N 31°20′3″E,1987,29.848888888888887,31.334166666666665,1987,Phase 1 (orig),False
Line 1,Ain Helwan,عين حلوان ‎,29°51′46″N 31°19′30″E,1987,29.86277777777778,31.325,1987,Phase 1 (orig),False
Line 1,Helwan University metro station,جامعة حلوان ‎,29°52′8″N 31°19′13″E,2002,29.86888888888889,31.32027777777778,2002,Phase 1 (ext),False
Line 1,Wadi Hof,وادي حوف ‎,29°52′46″N 31°18′48″E,1995,29.879444444444445,31.313333333333333,1995,Phase 1 (ext),False
Line 1,Hadayek Helwan,حدائق حلوان ‎,29°53′50″N 31°18′15″E,1997,29.897222222222222,31.304166666666667,1997,Phase 1 (ext),False
Line 1,El-Maasara,المعصرة ‎,29°54′22″N 31°17′59″E,26 Sep 1987,29.90611111111111,31.299722222222226,1987,Phase 1 (orig),False
Line 1,Tora El-Asmant,طرة الأسمنت ‎,29°55′33″N 31°17′16″E,1987,29.925833333333333,31.28777777777778,1987,Phase 1 (orig),False
Line 1,Kozzika,كوتسيكا ‎,29°56′10″N 31°16′54″E,1993,29.93611111111111,31.281666666666666,1993,Phase 1 (ext),False
Line 1,Tora El-Balad,طرة البلد ‎,29°56′47″N 31°16′25″E,1987,29.94638888888889,31.27361111111111,1987,Phase 1 (orig),False
Line 1,Sakanat El-Maadi,ثكنات المعادي ‎,29°57′10″N 31°15′48″E,1992,29.952777777777776,31.263333333333332,1992,Phase 1 (ext),False
Line 1,Maadi,المعادي ‎,29°57′35″N 31°15′29″E,1995,29.959722222222222,31.258055555555554,1995,Phase 1 (ext),False
Line 1,Hadayek El-Maadi,حدائق المعادي ‎,29°58′12″N 31°15′2″E,1992,29.97,31.250555555555554,1992,Phase 1 (ext),False
Line 1,Dar El-Salam,دار السلام ‎,29°58′55″N 31°14′32″E,1988,29.981944444444444,31.242222222222225,1988,Phase 1 (orig),False
Line 1,El-Zahraa',الزهراء ‎,29°59′43″N 31°13′54″E,1997,29.99527777777778,31.231666666666666,1997,Phase 1 (ext),False
Line 1,Mar Girgis ,مار جرجس ‎,30°0′21″N 31°13′46″E,1992,30.00583333333333,31.229444444444443,1992,Phase 1 (ext),False
Line 1,El-Malek El-Saleh,الملك الصالح ‎,30°1′1″N 31°13′51″E,1995,30.016944444444444,31.230833333333333,1995,Phase 1 (ext),False
Line 1,Al-Sayeda Zeinab,السيدة زينب ‎,30°1′45″N 31°14′7″E,1987,30.029166666666665,31.235277777777778,1987,Phase 1 (orig),False
Line 1,Saad Zaghloul,سعد زغلول ‎,30°2′12″N 31°14′17″E,1987,30.03666666666667,31.238055555555558,1987,Phase 1 (orig),False
Line 1,Sadat,السادات ‎,30°2′40″N 31°14′8″E,26 Sep 1987,30.044444444444448,31.235555555555557,1987,Phase 1 (orig),True
Line 1,Nasser,جمال عبدالناصر ‎,30°3′13″N 31°14′20″E,1987,30.053611111111113,31.23888888888889,1987,Phase 1 (orig),True
Line 1,Orabi,عرابي ‎,30°3′27″N 31°14′33″E,1987,30.0575,31.2425,1987,Phase 1 (orig),False
Line 1,Al-Shohadaa ,الشهداء ‎,30°3′43″N 31°14′46″E,26 Sep 1987,30.061944444444446,31.246111111111112,1987,Phase 1 (orig),True
Line 1,Ghamra,غمرة ‎,30°4′8″N 31°15′53″E,1989,30.06888888888889,31.264722222222222,1989,Phase 1 (orig),False
Line 1,El-Demerdash,الدمرداش ‎,30°4′38″N 31°16′40″E,Apr 1989,30.077222222222222,31.27777777777778,1989,Phase 1 (orig),False
Line 1,Manshiet El-Sadr,منشية الصدر ‎,30°4′56″N 31°17′16″E,1989,30.08222222222222,31.28777777777778,1989,Phase 1 (orig),False
Line 1,Kobri El-Qobba,كوبري القبة ‎,30°5′13″N 31°17′38″E,1989,30.086944444444445,31.29388888888889,1989,Phase 1 (orig),False
Line 1,Hammamat El-Qobba,حمامات القبة ‎,30°5′25″N 31°17′53″E,1989,30.090277777777775,31.298055555555557,1989,Phase 1 (orig),False
Line 1,Saray El-Qobba,ساراي القبة ‎,30°5′53″N 31°18′17″E,1989,30.098055555555554,31.304722222222225,1989,Phase 1 (orig),False
Line 1,Hadayeq El-Zaitoun,حدائق الزيتون ‎,30°6′19″N 31°18′36″E,1989,30.10527777777778,31.310000000000002,1989,Phase 1 (orig),False
Line 1,Helmeyet El-Zaitoun,حلمية الزيتون ‎,30°6′52″N 31°18′50″E,1989,30.114444444444445,31.31388888888889,1989,Phase 1 (orig),False
Line 1,El-Matareyya,المطرية ‎,30°7′17″N 31°18′50″E,1989,30.12138888888889,31.31388888888889,1989,Phase 1 (orig),False
Line 1,Ain Shams,عين شمس ‎,30°7′52″N 31°19′9″E,1989,30.13111111111111,31.319166666666668,1989,Phase 1 (orig),False
Line 1,Ezbet El-Nakhl,عزبة النخل ‎,30°8′21″N 31°19′28″E,1989,30.139166666666664,31.324444444444445,1989,Phase 1 (orig),False
Line 1,El-Marg,المرج ‎,30°9′8″N 31°20′8″E,5 Apr 1989,30.15222222222222,31.335555555555555,1989,Phase 1 (orig),False
Line 1,New El-Marg,المرج الجديدة ‎,30°9′48″N 31°20′18″E,1999,30.16333333333333,31.33833333333333,1999,Phase 1 (ext),False
Line 2,El-Mounib,المنيب ‎,29°58′53″N 31°12′43″E,17 Jan 2005,29.981388888888887,31.211944444444445,2005,Phase 2 (orig),False
Line 2,Sakiat Mekky,ساقية مكي ‎,29°59′44″N 31°12′31″E,17 Jan 2005,29.995555555555555,31.20861111111111,2005,Phase 2 (orig),False
Line 2,Omm El-Masryeen ,أم المصريين ‎,30°0′19″N 31°12′29″E,8 Oct 2000,30.005277777777778,31.208055555555553,2000,Phase 2 (orig),False
Line 2,El Giza,الجيزة ‎,30°0′38″N 31°12′25″E,8 Oct 2000,30.010555555555555,31.206944444444442,2000,Phase 2 (orig),False
Line 2,Faisal,فيصل ‎,30°1′2″N 31°12′14″E,8 Oct 2000,30.01722222222222,31.203888888888887,2000,Phase 2 (orig),False
Line 2,Cairo University,جامعة القاهرة ‎,30°1′34″N 31°12′4″E,19 Apr 1999,30.02611111111111,31.20111111111111,1999,Phase 2 (orig),True
Line 2,El Bohoth,البحوث ‎,30°2′9″N 31°12′1″E,19 Apr 1999,30.035833333333336,31.200277777777778,1999,Phase 2 (orig),False
Line 2,Dokki,الدقي ‎,30°2′18″N 31°12′43″E,19 Apr 1999,30.038333333333334,31.211944444444445,1999,Phase 2 (orig),False
Line 2,Opera,الأوبرا ‎,30°2′31″N 31°13′31″E,19 Apr 1999,30.041944444444447,31.225277777777777,1999,Phase 2 (orig),False
Line 2,Sadat,السادات ‎,30°2′40″N 31°14′8″E,26 Sep 1987,30.044444444444448,31.235555555555557,1987,Phase 2 (orig),True
Line 2,Mohamed Naguib,محمد نجيب ‎,30°2′43″N 31°14′39″E,Sep 1998,30.04527777777778,31.24416666666667,1998,Phase 2 (orig),False
Line 2,Attaba,العتبة ‎,30°3′9″N 31°14′49″E,1 Sep 1998,30.052500000000002,31.246944444444445,1998,Phase 2 (orig),True
Line 2,Al-Shohadaa ,الشهداء ‎,30°3′43″N 31°14′46″E,26 Sep 1987,30.061944444444446,31.246111111111112,1987,Phase 2 (orig),True
Line 2,Masarra,مسرة ‎,30°4′16″N 31°14′42″E,1 Oct 1996,30.07111111111111,31.245,1996,Phase 2 (orig),False
Line 2,Road El-Farag,روض الفرج ‎,30°4′50″N 31°14′44″E,1 Oct 1996,30.080555555555556,31.245555555555555,1996,Phase 2 (orig),False
Line 2,St. Teresa,سانتا تريزا ‎,30°5′18″N 31°14′44″E,1 Oct 1996,30.08833333333333,31.245555555555555,1996,Phase 2 (orig),False
Line 2,Khalafawy,الخلفاوي ‎,30°5′53″N 31°14′43″E,1 Oct 1996,30.098055555555554,31.24527777777778,1996,Phase 2 (orig),False
Line 2,Mezallat,المظلات ‎,30°6′18″N 31°14′48″E,1 Oct 1996,30.105,31.246666666666666,1996,Phase 2 (orig),False
Line 2,Kolleyyet El-Zeraa,كلية الزراعة ‎,30°6′50″N 31°14′55″E,1 Oct 1996,30.11388888888889,31.248611111111114,1996,Phase 2 (orig),False
Line 2,Shubra El-Kheima,شبرا الخيمة ‎,30°7′21″N 31°14′41″E,1 Oct 1996,30.1225,31.244722222222222,1996,Phase 2 (orig),False
Line 3,Adly Mansour,عدلي منصور ‎,30°8′49″N 31°25′17″E,2020,30.146944444444443,31.42138888888889,2020,Phase 3C,False
Line 3,El Haykestep,الهايكستب ‎,30°8′38″N 31°24′17″E,2020,30.14388888888889,31.404722222222222,2020,Phase 3C,False
Line 3,Omar Ibn El-Khattab,عمر بن الخطاب ‎,30°8′26″N 31°23′39″E,2020,30.140555555555554,31.394166666666667,2020,Phase 3C,False
Line 3,Qobaa,قباء ‎,30°8′5″N 31°23′2″E,2020,30.134722222222223,31.383888888888887,2020,Phase 3C,False
Line 3,Hesham Barakat,هشام بركات ‎,30°7′52″N 31°22′22″E,2020,30.13111111111111,31.372777777777777,2020,Phase 3C,False
Line 3,El-Nozha,النزهة ‎,30°7′42″N 31°21′36″E,2020,30.128333333333334,31.360000000000003,2020,Phase 3C,False
Line 3,Nadi El-Shams,نادي الشمس ‎,30°7′20″N 31°20′38″E,2019,30.122222222222224,31.343888888888888,2019,Phase 3B,False
Line 3,Alf Maskan,ألف مسكن ‎,30°7′5″N 31°20′23″E,2019,30.118055555555557,31.33972222222222,2019,Phase 3B,False
Line 3,Heliopolis Square,ميدان هليوبوليس ‎,30°6′29″N 31°20′17″E,2019,30.108055555555556,31.338055555555556,2019,Phase 3B,False
Line 3,Haroun,هارون ‎,30°6′4″N 31°19′58″E,2019,30.101111111111113,31.33277777777778,2019,Phase 3B,False
Line 3,Al-Ahram,الأهرام ‎,30°5′29″N 31°19′35″E,2014,30.091388888888886,31.32638888888889,2014,Phase 3A,False
Line 3,Koleyet El-Banat,كلية البنات ‎,30°5′1″N 31°19′44″E,2014,30.08361111111111,31.328888888888887,2014,Phase 3A,False
Line 3,Stadium,الإستاد ‎,30°4′23″N 31°19′3″E,2014,30.073055555555555,31.3175,2014,Phase 3A,False
Line 3,Fair Zone,أرض المعارض ‎,30°4′24″N 31°18′4″E,2014,30.073333333333334,31.301111111111112,2014,Phase 3A,False
Line 3,Abbassia,العباسية ‎,30°4′11″N 31°16′51″E,2012,30.06972222222222,31.280833333333334,2012,Phase 3A,False
Line 3,Abdou Pasha,عبده باشا ‎,30°3′53″N 31°16′29″E,2012,30.064722222222223,31.27472222222222,2012,Phase 3A,False
Line 3,El Geish,الجيش ‎,30°3′43″N 31°16′1″E,2012,30.061944444444446,31.266944444444444,2012,Phase 3A,False
Line 3,Bab El Shaaria,باب الشعرية ‎,30°3′14″N 31°15′22″E,2012,30.05388888888889,31.25611111111111,2012,Phase 3A,False
Line 3,Attaba,العتبة ‎,30°3′9″N 31°14′49″E,1 Sep 1998,30.052500000000002,31.246944444444445,1998,Phase 3A,True
Line 3,Nasser,جمال عبدالناصر ‎,30°3′13″N 31°14′20″E,1987,30.053611111111113,31.23888888888889,1987,Phase 3A,True
Line 3,Maspero,ماسبيرو ‎,30°3′20″N 31°13′56″E,5 Oct 2022,30.055555555555557,31.23222222222222,2022,Phase 3C,False
Line 3,Safaa Hegazy,صفاء حجازي ‎,30°3′45″N 31°13′21″E,5 Oct 2022,30.0625,31.222499999999997,2022,Phase 3C,False
Line 3,Kit Kat,الكيت كات ‎,30°4′0″N 31°12′47″E,5 Oct 2022,30.066666666666666,31.213055555555556,2022,Phase 3C,False
Line 3,Sudan,السودان ‎,30°4′11″N 31°12′19″E,1 Jan 2024,30.06972222222222,31.205277777777777,2024,Phase 3D,False
Line 3,Imbaba,إمبابة ‎,30°4′33″N 31°12′27″E,1 Jan 2024,30.075833333333332,31.2075,2024,Phase 3D,False
Line 3,El-Bohy,البوهي ‎,30°4′56″N 31°12′38″E,1 Jan 2024,30.08222222222222,31.210555555555555,2024,Phase 3D,False
Line 3,El-Qawmia,القومية ‎,30°5′36″N 31°12′32″E,1 Jan 2024,30.093333333333334,31.20888888888889,2024,Phase 3D,False
Line 3,Ring Road,الطريق الدائري ‎,30°5′47″N 31°11′59″E,1 Jan 2024,30.09638888888889,31.199722222222224,2024,Phase 3D,False
Line 3,Rod al-Farag Corridor,محور روض الفرج ‎,30°6′7″N 31°11′3″E,1 Jan 2024,30.101944444444445,31.184166666666666,2024,Phase 3D,False
Line 3,Tawfikia,التوفيقية ‎,30°3′55″N 31°12′9″E,15 May 2024,30.06527777777778,31.2025,2024,Phase 3D,False
Line 3,Wadi El Nile,وادي النيل ‎,30°3′30″N 31°12′4″E,15 May 2024,30.058333333333334,31.20111111111111,2024,Phase 3D,False
Line 3,Gamat El Dowal,جامعة الدول العربية ‎,30°3′3″N 31°11′59″E,15 May 2024,30.050833333333333,31.199722222222224,2024,Phase 3D,False
Line 3,Boulak El Dakrour,بولاق الدكرور ‎,30°2′10″N 31°11′47″E,15 May 2024,30.03611111111111,31.19638888888889,2024,Phase 3D,False
Line 3,Cairo University,جامعة القاهرة ‎,30°1′34″N 31°12′4″E,19 Apr 1999,30.02611111111111,31.20111111111111,1999,Phase 3A,True
